,question,choices,answer,rationales
4867,Reaching tentative agreement is the first result when two side make what to come closer together?,"['uncertainty', 'hug', 'compromises', 'fucking', 'calmness']",compromises,
4868,Reading a newspaper gives you a what about local current events?,"['get angry', 'concern', 'worrie', 'education', 'learning about world']",education,
4869,Recording somethign on an old answering machine required you to put what inside of it?,"['have recording device', 'disket', 'recorder', 'spell checker', 'tape']",tape,
4870,Regular pants are sometimes not long enough if a person is very what?,"['goofy', 'tall', 'constipated', 'abnormal', 'new']",tall,
4871,Remember to pay attention to the lecture so you can do what?,"['know', 'of interest to', 'learn from', 'was interesting', 'concentrate']",learn from,
4872,Remembering a terrible event is likely to cause what?,"['problems', 'inspiration', 'going to a therapist', 'crying', 'trauma']",trauma,
4873,Remembering facts is how you demonstrate what when taking a test?,"['knowing', 'knowledge', 'sadness', 'pleasure', 'depression']",knowing,
4874,Remembering past successe is likely to cause what?,"['problems', 'crying', 'inspiration', 'trauma', 'nightmares']",inspiration,
4875,Round bread covered with cheese and pepperoni comes out of an oven at what sort of eatery?,"['restaurant', 'prison', 'refrigerator', 'pizza place', 'own home']",pizza place,
4876,Rumors of roving bands of monsters killing people could lead to what?,"['panic', 'getting in trouble', 'mass hysteria', 'go to prison', 'murder']",mass hysteria,
4877,Running in bad shoes can easily cause something painful. What can it cause?,"['breathlessness', 'shortness of breath', 'calluses', 'exercise', 'increased heart rate']",calluses,
4878,Sahmbi was  lying about the fugitive's location.  He was lying because he wanted to avoid legal what?,"['confusion', 'being found out', 'hurt feelings', 'being fired', 'trouble']",trouble,
4879,Sally and Joe were burned by chemicals because they ignored the signs.  She had chemical burns in her vagina.   Where might they have been?,"['swimming pool', 'beach', 'crystal meth lab', 'chemistry lab', 'laboratory']",swimming pool,
4880,Sally appreciated discovering the truth.  After so much worry at gave her what?,"['enlightenment', 'happiness', 'conclusion', 'relief', 'excitement']",relief,
4881,Sally bought bubblegum. Where might she have gotten it?,"['supermarket', 'theater', 'street', 'pocket', 'church']",supermarket,
4882,Sally brought the ball when she visited Scott so that they could do what with it?,"['bounces', 'play with', 'toy', 'charming', 'earball']",play with,
4883,Sally checked her undersink and oversink cabinets to see where they were make.  Where might they have been made?,"['pantry', 'mexico', 'texas', 'planes', 'kitchen']",mexico,
4884,Sally had a throat injury.  She can't talk because she is unable to do what?,"['swallow food', 'will listen', 'open mouth', 'make sound', 'dry mouth']",make sound,
4885,Sally is a customer at a restaurant.  She got a table early.  What might she have done after being seated?,"['order dinner', 'take number', 'pay bills', 'finish desert', 'wait in line']",order dinner,
4886,Sally knows a person who works at a distillery.  He takes public transportation to his job every day. What is his job?,"['catch cold', 'wear jeans', 'take bus', 'eat cake', 'make wine']",make wine,
4887,Sally likes to create art. It's better than sex. Putting brush to canvas gives you what sort of feeling?,"['frustration', 'pride', 'communication', 'pleasure', 'work of art']",pleasure,
4888,Sally loved the color of fallen leaves in autumn. She often took long walks in September.  Where might she walk?,"['roof', 'tree', 'ground', 'forest', 'fall season']",forest,
4889,Sally made a mistake.  She came home drunk and endeared the wrong house.   What was the relationship between the house and her neighbor?,"['belong to', 'burn down', 'winter storm', 'her favorite', 'face street']",belong to,
4890,Sally noticed that the sword was straight.  She wanted one with a different type of blade. What type of sword did she want?,"['crooked', 'curved', 'bent', 'straightforth', 'broken']",curved,
4891,Sally offered James Dinner but James couldn't stand the idea of having food.  What did he have?,"['gas', 'upset stomach', 'digesting', 'not hungry', 'feeling of fullness']",upset stomach,
4892,Sally raked up leaves that had fallen to the ground.  She added them to something.  What did she add them to?,"['trees', 'ground', 'forrest', 'blower', 'compost pile']",compost pile,
4893,Sally took her medicine and experienced strong side effects.  What did doctors say about the side effects?,"['great', 'distinguished', 'remarkable', 'excellent', 'peculiar']",remarkable,
4894,Sally waited in the rain with another person.  Both of them were waiting to do what?,"['make wine', 'cross street', 'wear jeans', 'take bus', 'take taxi']",take bus,
4895,Sally wanted to keep her saltshaker some place where she could find it but where it would be out of the way.  Where might she have put it?,"['dinner table', 'table setting', 'own kitchen', 'kitchen counter', 'cabinet']",cabinet,
4896,Sally was a real estate agent but she was a bad one.  She didn't do well because people knew that she would oversell some features of the homes she sold. They assumed that she was always doing what?,"['cover up', 'lie', 'manipulate', 'exaggerate', 'incompetent']",exaggerate,
4897,Sally was a senior in the House.  What might she be a member of?,"['assisted living facility', ""old people's home"", 'high school or college', 'republican party', 'organization']",republican party,
4898,Sally was watching from near the orchestra pit as the players came on stage.  What sort of building is she in?,"['opera house', 'butt', 'auditorium', 'music hall', 'theatre']",theatre,
4899,Sally went out to look for a stepladder.  Where might she have gone?,"[""construction worker's vehicle"", 'tool shed', 'hardware store', 'elevator', 'store room']",tool shed,
4900,Sally went to a store and spent money.  Most of her purchases were fresh but some were frozen.  What did she do?,"['made a mistake', 'control people', 'get things', 'buy food', 'pay bills']",buy food,
4901,Sally worked at a dentist office. She had to work late.  What might have caused her to work late?,"['office building', 'town', 'patient', 'michigan', 'office desk']",patient,
4902,Sally's boss told her to stop playing.  She was being very loud.  What was she playing?,"['telegram', 'organ', 'telegraph', 'motor', 'chess']",organ,
4903,Sam  spent time chatting with friends about important things because he wanted to get what?,"['love', 'happiness', 'answers', 'communication', 'money']",answers,
4904,Sam and June bought loose corn because it was less expensive than what other variety?,"['footloose', 'bound', 'packaged', 'cobbed', 'compact']",packaged,
4905,Sam didn't care about what company he kept on Christmas.  He just didn't want to be what?,"['you', 'alone', 'solitude', 'he want to marry', 'loneliness']",alone,
4906,Sam didn't expect to see something like that underground.  He used his hand to shade his eyes from what?,"['direct sunlight', 'brightness', 'moon', 'full sunlight', 'bright light']",bright light,
4907,Sam didn't have to walk far to get lunch.  There was a deli on the ground floor of his what?,"['town', 'shopping center', 'strip mall', 'office building', 'new york city']",office building,
4908,Sam didn't like the people he met while traveling.  What might he do to get away from them?,"['come home', 'airplane', 'learn from each other', 'go out', 'make art']",come home,
4909,Sam eat a big dinner.  He eventually stopped having food because he experienced a pleasant sensation.  What did he experience?,"['feeling of fullness', 'weight gain', 'nausea', 'not hungry', 'upset stomach']",feeling of fullness,
4910,Sam experienced a great deal of confusion because of what he suffered. What might he have suffered?,"['class', 'quandry', 'opera', 'mind', 'war']",war,
4911,Sam felt that he only had the power to destroy.  He was scared when he learned that Jane was pregnant.  He was surprised that he could do what?,"['create', 'rebuild', 'repair', 'draw', 'construct']",create,
4912,Sam felt that you needed to improve yourself.  She said that you should take the time to collect your thoughts and clear your mind.  Why does she want you to improve yourself?,"['learn new', 'do yoga', 'meditate', 'feel better about yourself', 'celebrate']",feel better about yourself,
4913,Sam found a giant hole in the plain.  What might this hole be called?,"['hill', 'gorge', 'sandplain', 'cliff', 'mountain']",gorge,
4914,Sam intentionally lost his tickets.  He didn't want to listen to people singing all night. Where was Sam going?,"['opera', 'movies', 'train station', 'race track', 'work']",opera,
4915,Sam is getting something that he doesn't want.  What is he getting?,"['headaches', 'satisfaction', 'then have', 'being happy', 'money']",headaches,
4916,Sam left his muddy shoes in the entryway.  Where might he be?,"['department store', 'school', 'garden', 'office building', 'house']",house,
4917,Sam liked getting drunk.  He did it for what?,"['nausea', 'sleep', 'fights', 'vomiting', 'relaxation']",relaxation,
4918,Sam listened for instructions from the ground on the radio.  Where might have Sam been?,"['school', 'shop', 'space shuttle', 'train', 'bedroom']",space shuttle,
4919,Sam loved buying Christmas presents. Giving to others made him feel what?,"['lack of money', 'pleasure', 'happiness', 'love', 'relief']",happiness,
4920,Sam loves to create art.   Looking at other peoples work does what to him?,"['depresses', 'express yourself', 'inspires', 'enlightenment', 'creative']",inspires,
4921,Sam put his return ticket in a special box.  It was where he kept all of his what?,"['airline envelope', 'airport', 'plane', 'tickets', 'keepsakes']",tickets,
4922,Sam ran out of clipboards. Where might he got for more?,"['windows 95', 'school', 'ammunition shop', 'office supply store', 'desk']",office supply store,
4923,Sam searched for important information about obscure subjects. Where might he look for it?,"['online', 'manual', 'google', 'newspaper', 'outside']",online,
4924,Sam spent most of his time standing up.  His job was hectic and he never got any rest. But he was the best cashier at his workplace.    Where might he work?,"['bookstore', 'count till', 'supermarket', 'shop', 'preschool']",supermarket,
4925,Sam turned on the projector and showed his powerpoint presentation to his partners.  Where might he be?,"['theatre', 'conference', 'show films', 'movies', 'meeting']",meeting,
4926,Sam was a short distance runner. He couldn't do long distances.  What might happen if he tried long distances?,"['gain ground', 'trip over', 'get tired', 'enter marathon', 'go to sleeping']",get tired,
4927,Sam was a student at Elmhurst elementary .  She was late when the bell rang so she ran in the hall trying to do what?,"['go to high school', 'answer question', 'charming', 'go to class', 'try to get']",go to class,
4928,Sam was alone in spite of the fact that he was at a family reunion and mingling with what?,"['with someone', 'many people', 'together', 'party', 'in crowd']",many people,
4929,Sam was an alcoholic.  He was in a car crash two years ago and was injured.  Where might he have crashed?,"['bridge', 'park', 'bar', 'prison', ""neighbor's house""]",bridge,
4930,Sam was having a meeting with a friend.  When they saw each other they exchanged greetings and did what?,"['shake hands', 'say hi', 'greet', 'say goodbye', 'have coffee']",shake hands,
4931,Sam was moving out to college.  His parents packed up all of his old toys are placed them in long term storage.  Where might they put the boxes of toys?,"['these twos are incorrect answers', 'bed', 'basement', 'floor', 'store']",basement,
4932,Sam was performing live.  John couldn't be there but he still listened.  What did he listen to?,"['recorded', 'eavesdropping', 'neutral', 'broadcast', 'death']",broadcast,
4933,Sam was picked up a group of travelers. They told him that they wanted to see the countryside.  Where might the travelers be going?,"['airport', 'dock', 'train station', 'rest area', 'bus depot']",train station,
4934,Sam wasn't in a rush to shop.  That allowed him to be more mindful and do what?,"['slow down', 'leisure', 'take time', 'delay', 'go slowly']",take time,
4935,Sam went climbing but wasn't good at it. He was nimble and had what?,"['fingers', 'dexterity', 'skill', 'muscles', 'strength']",dexterity,
4936,Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?,"['books', 'france', 'fish market', 'atlantic ocean', 'cuba']",france,
4937,Sam would cry when he watched Old Yeller.  The movie was what?,"['were sad', 'distraught', 'unhappy', 'release tension and anxiety', 'miserable']",were sad,
4938,Sam's children are rambunctious.  What might they do?,"['break things', 'play sports', 'play with toys', 'play ball', 'throw things']",throw things,
4939,Sammy wanted to go to where the people were.  Where might he go?,"['race track', 'populated areas', 'the desert', 'apartment', 'roadblock']",populated areas,
4940,Sammy was a union member.   He had to be.  It was the only way to advance in his profession.  What was his profession?,"['workplace', 'science', 'algebra', 'province', 'construction business']",construction business,
4941,Sarah couldn't make the afternoon meeting and had to reschedule. She promised to .skip dinner and go to sleep earlier that night so that she could make it.  When might the meeting have been rescheduled to?,"['before noon', 'after', 'morning', 'evening', 'before lunch']",morning,
4942,Sarah couldn't stand living without an air conditioner.  It was summer and she was in what?,"['the sun', 'texas', 'hard', 'car', 'office building']",texas,
4943,Sarah did all of it.  She was the best saleswoman in the city.  But she was never acknowledge for her what?,"['work hard', 'sell products', 'field question', 'slow down', 'productivity']",work hard,
4944,Sarah didn't even know that she was fertile. He doctor told her that procreating was impossible for her.  So she was extremely surprised when she learned that she was having what?,"['animals', 'children born', 'twins', 'population increase', 'venereal disease']",twins,
4945,Sarah didn't like driving cars.   The traffic gave her a lot of what?,"['car crash', 'stress', 'death', 'happiness', 'transportation']",stress,
4946,Sarah didn't own a computer or a monitor.  Instead she just used something connected to her TV.  How would she describe the thing connected to her TV?,"['box', 'internet cafe', 'view bluescreen', 'desktop', 'display images']",box,
4947,Sarah didn't think that they deserved division.  She spend a lot of effort doing what to them?,"['multiplication', 'putting together', 'times', 'subtraction', 'multiply']",putting together,
4948,Sarah felt bad about their odds. Billy disagreed with her.  What did he think about their odds?,"['first rate', 'adequate', 'good', 'propitious', 'sufficient']",propitious,
4949,Sarah filled the thing with peanuts.  What did she fill with peanuts?,"['ballpark', 'box', 'container', 'carnival', 'jar']",jar,
4950,Sarah had trouble beginning work.  She was not doing what?,"['computer', 'momentum', 'panic', 'accomplishing', 'excitement']",accomplishing,
4951,Sarah knew that bob was a gentleman because he took her to a show and was stylish in his what?,"['tuxedo', 'big house', 'church', 'town', 'movie']",tuxedo,
4952,Sarah loved riding horse but she was having pain in his legs because of it. She was experiencing what sesation?,"['bouncing', 'shaky', 'fear', 'movement', 'stiffness']",stiffness,
4953,Sarah loves giving assistance.  She doesn't ask for anything in returned.  What does Sarah probably care about most?,"['her hair', 'better circumstances', 'people helped', 'learning new skills', 'happiness']",people helped,
4954,Sarah opened her newspaper to the second page and sat where?,"['rug', 'front door', 'jail', 'porch', 'chair']",porch,
4955,Sarah opened his chest and found a second heart.  Her patient might not be what?,"['istanbul', 'animal', 'antique shop', 'human being', 'bedroom']",human being,
4956,Sarah pressed the button on the handle and took a sip.  What is she using?,"['adult toy', 'fridge', 'bathroom', 'hardware store', 'water fountain']",water fountain,
4957,Sarah put her food in a trash can beside her desk.  Where might she have been?,"['bus stop', 'corner', 'office', 'park', 'motel']",office,
4958,Sarah thought that buying beer with a fake idea was a good idea.  She just wanted to enjoy herself. But it turned to be anything but. What did it turn out to be?,"['a smart decision', 'spend money', 'get arrested', 'stupidity', 'have fun']",stupidity,
4959,Sarah thought that she had been home all evening.  That meant that the only time to leave was when?,"['early morning', 'day time', 'night', 'afternoon', 'daytime']",early morning,
4960,Sarah thought that the movie was entertaining but vapid.   How might Sarah feel about the book?,"['tired', 'appreciate more', 'like', 'making friends', 'getting paid for']",appreciate more,
4961,Sarah told him to make sure that the bundle was tight. Some fell out because it was what?,"['broad', 'loose', 'slack', 'windtight', 'crap']",loose,
4962,Sarah took poison by accident She found it in the cabinet and. thought that it was what?,"['drinkable', 'junk food', 'medicine', 'antidote', 'nutrient']",medicine,
4963,Sarah wanted to surprise her husband. He failed because he had already down what what regarding the trip?,"['predictable', 'known about', 'bland', 'bought tickets', 'sneaky']",known about,
4964,Sarah wants to eat lunch.  To do this she'll have to go to her kitchen and do what?,"['smell', 'have food', 'get food', 'hungry', 'buy food']",get food,
4965,Sarah was cooking thick gravy in her saucepan because she wanted some authentic soul food.  Where might Sarah live?,"['kitchen cupboard', 'italian restaurant', 'georgia', 'south', 'boil vegetables']",georgia,
4966,Sarah was cooling off too quickly after exercising hard.   She started doing what?,"['relaxation', 'sweating', 'shivering', 'palpitate', 'chills']",shivering,
4967,Sarah was eating a hamburger.  She seemed to be okay.  She looked like she was doing what?,"['enjoy', 'choking', 'nausea', 'death', 'satisfaction']",enjoy,
4968,Sarah was not a little girl anymore.  She learned the hard way when buying new clothes.  What size might she have worn?,"['large', 'big', 'see work', 'lot of', 'bog']",large,
4969,Sarah was on the 30th floor when the fire started.  That made it difficult for her to escape what?,"['carpet', 'hallway', 'obesity', 'building', 'exchange']",building,
4970,Sarah was very good with a brass drum.  Her friend Jane was performing at a concert and asked Sarah to join her.  What did Jane ask Sarah to join?,"['manual', 'marching band', 'drum set', 'rock band', 'orchestra']",rock band,
4971,Sarah went to a genuine Western streak house.  Where might she have been?,"['mexico', 'japan', 'outback', 'new york', 'texas']",texas,
4972,Sarah's birds died because she didn't poke holes in the jar and they needed to do what?,"['pick berries', 'sky', 'reproduce', 'roof', 'breathe']",breathe,
4973,Sarah's dress was very loose. She preferred that.  She didn't like showing off her curves. What type of clothes would she not wear?,"['close fitting', 'form fitting', 'compact', 'faithful', 'discreet']",close fitting,
4974,Sarah's forgot her purse. She couldn't be the clothes she wanted.    She would have to drive all the way back where?,"['house', 'home', 'handbag', 'restaurant', 'department store']",home,
4975,Saul is writting a program and has been told that another team has been working on added functionality.  He's not sure hot the other team's work will impact his. What does his bosses want him to do with the new code?,"['detail', 'loop', 'need to integrate', 'unexpected results', 'satisfaction']",need to integrate,
4976,Science is a difficult subject.  What's a purer subject?,"['faith', 'astronomy', 'discovery', 'arts', 'math']",math,
4977,Sean liked analyzing information.  He felt that he helped him learn what?,"['new knowledge', 'enlightened', 'facts', 'discovering truth', 'learn more about']",new knowledge,
4978,Sean put his groceries away and then went to his room to use his computer.  Where would he have put the teabags?,"['mug', 'refrigerator', 'teapot', 'internet cafe', 'cupboard']",cupboard,
4979,Sean stared at his door all night.  He was scared that he might see it doing what?,"['wall', 'window', 'opening', 'closet', 'exit']",opening,
4980,Seeing a shark near Tahiti means you're where?,"['baltic sea', 'gulf of mexico', 'pool hall', 'mediterranean sea', 'south pacific']",south pacific,
4981,Seeing how old things created so long ago is likely to cause?,"['painful memories', 'reverence', 'curiosity', 'depression', 'nostalgia']",reverence,
4982,Seeing someone open a gift after buying christmas presents causes what for the gift giver?,"['stress', 'understand themselves', 'pleasure', 'sense of joy', 'debt']",pleasure,
4983,Seeing the desired results of doing housework left her what?,"['smiley', 'house clean', 'getting good grades', 'feeling satisfied', 'boredom']",feeling satisfied,
4984,Settling in to see your favorite show is a great way to do what after a hard days work?,"['smile', 'buy tickets', 'laugh', 'relax', 'succeed']",relax,
4985,Several train terminals linked together is an example of what?,"['station', 'electrical device', 'battery', 'initial', 'transportation system']",transportation system,
4986,Sex is often referred to being part of what for everyone?,"['human experience', 'reproductive cycle', 'procreation', 'gaining strength', 'effect of insemination']",human experience,
4987,Shareholders gather in what to have meetings?,"['large company', 'building', 'den', 'financial trouble', 'factory']",building,
4988,Shark tank is a popular reality what?,"['pool hall', 'san francisco bay', 'television show', 'museum', 'new england']",television show,
4989,She always wanted to live in a brick row house in what foggy country?,"['city center', 'england', 'cheap living', 'ghetto', 'jars']",england,
4990,She could watch people coming and going to all the different shops while at the beauty salon because it was located where?,"['picking clothes', 'clerk', 'strip mall', 'beautifying hair', 'neighborhood']",strip mall,
4991,She had not been back to work since a bad incident what is she likely to feel upon return?,"['stress', 'lonely', 'anxiety', 'depression', 'conversation']",anxiety,
4992,She had taken her ring from her finger and placed it on the windowsill so she wouldn't get it wet while she was in what?,"['bath tub', 'finger', 'windowsill', 'wedding ceremony', 'a coma']",bath tub,
4993,She just wanted to feel safe after being in a what kind of relationship?,"['unsafe', 'insecure', 'park', 'cabinet', 'harmful']",harmful,
4994,She needed help from a friend to over tighten the strap on her fancy what?,"['brassiere', 'strapline', 'chemise', 'brace', 'golf bag']",brassiere,
4995,She was hitting bottle to the point that doing what would seem like sobering up even though it wasn't?,"['buying beer', 'table', 'alcoholism', 'aim', 'michigan']",buying beer,
4996,She would only buy things on sale as to what?,"['selling', 'get money', 'save money', 'steal', 'spend money']",save money,
4997,She'd sooner just spray herself with water than the what she didn't like the smell of?,"['perfume', 'air', 'fountain', 'swamp', 'puddle']",perfume,
4998,Shopping all day is likely to lead to?,"['obesity', 'bankruptcy', 'debt', 'tiredness', 'calluses']",tiredness,
4999,Silk is used to make high quality what?,"['nightgown', 'mulberry tree', 'garments', 'chinatown', 'bushes']",garments,
5000,Simon bought a cow because he wanted to put it to work.   He didn't want any meat for it.  Where might Simon be taking the cow?,"['countryside', 'city', 'dairy farm', 'butcher shop', 'canada']",dairy farm,
5001,Simon put crayon pictures on the wall of what?,"['classroom', 'labyrinth', 'zoo', 'art show', 'prison']",classroom,
5002,Simon was meeting Jane that afternoon.  This meant that he needed to be finished with his project by when?,"['evening', 'before lunch', 'after', 'morning', 'after']",before lunch,
5003,Simon's instructions were not clear.  Claire found them to be what?,"['park', 'invisible', 'confusing', 'obscured', 'misunderstood']",confusing,
5004,Singers go to a studio to do what?,"['clear throats', 'sound beautiful', 'warm up', 'create music', 'make noise']",create music,
5005,Sitting down in a cushy chair will lead to what?,"['laziness', 'comfort', 'sitting', 'fall asleep', 'flatulence']",comfort,
5006,Sitting to close while watching TV can cause what sort of pain?,"['brain problems', 'laziness', 'get fat', 'headache', 'laughter']",headache,
5007,Smoking certain drugs will not have a desired effect without a proper what?,"['inhale', 'lighter', 'go outside', 'coughing', 'unhealthy']",inhale,
5008,Snakes have many things what are they most likely to have when you find their home?,"['nest full of babies', 'no legs', 'tree', 'feild', 'scales']",nest full of babies,
5009,Society cannot exist without numbers.   They only rise up in what sort of spaces?,"['population', 'populated area', 'create government', 'group of people', 'make person sick']",populated area,
5010,Soldiers who have been killing people during what experience what when they return home?,"['hate', 'suicidal thoughts', 'murder', 'get killed', 'feel remorse']",feel remorse,
5011,Some cars have racing lines on them called?,"['seat belts', 'breaks to help stop', 'designs', 'stripes', 'radios']",stripes,
5012,Some celebrities find going public useful after being caught at what?,"['high heel shoes', 'getting high', 'problems', 'press coverage', 'wide acceptance']",getting high,
5013,Some cultures find it odd that other cultures have this kind of bathroom in an apartment?,"['habitual', 'outhouse', 'normal', 'common', 'regular']",common,
5014,Some idiots die of dehydration because they spend too much time playing games.  Where might someone play games so much?,"['bar', 'sporting event', 'hockey game', 'baseball field', 'internet cafe']",internet cafe,
5015,Some monkeys originated in this place that has borders and many people.,"['kentucky', 'rain forest', 'treetops', 'research laboratory', 'south africa']",south africa,
5016,Some people believe that eating a heavy meal before going to sleep at night will cause you to what?,"['eat cake', 'restlessness', 'have nightmares', 'go to sleep', 'snore']",have nightmares,
5017,Some people fart playfully in order to get what?,"['attention', 'impress', 'crude', 'store gas as fuel', 'smell bad']",attention,
5018,Some people go their whole life doing what for love?,"['live life', 'wait for', 'emotion affection', 'kiss', 'entertain']",wait for,
5019,Some people use love to do what for themselves?,"['entertain', 'rub one out', 'wait for', 'procreate', 'live life']",entertain,
5020,Some people went shopping to buy racks. What will they do with them?,"['make babies', 'go hiking', 'build', 'group objects', 'talk to each other']",group objects,
5021,Some people will only have sex for the first time if they what?,"['see art', 'eat breakfast', 'drink milk', 'love another', 'wait for']",love another,
5022,Someone charged with killing people is likely to reside where?,"['going to jail', 'terrible', 'murder', 'home', 'get arrested']",going to jail,
5023,Someone expressing anger will shake their fists to do what?,"['twerk', 'illustrate point', 'cool off', 'punch', 'write letter']",illustrate point,
5024,Someone lacking immortality will one day be?,"['kick the bucket', 'mortal', 'dead', 'can die', 'dying']",dead,
5025,Someone probably used more than one horse to make one of these?,"['horseradish', 'farmyard', 'western movie', 'canada', 'race track']",western movie,
5026,Someone takes up exercising to improve their what,"['losing weight', 'physical fitness', 'breathlessness', 'muscles', 'lost weight']",physical fitness,
5027,Someone who creates art is very?,"['inspired', 'be mean', 'artist', 'starve', 'imagine']",inspired,
5028,Someone who doesn't believe in the divine could be called what?,"['godless', 'humdrum', 'godless', 'horrible', 'undivine']",godless,
5029,Someone who doesn't care about about someone else and wishes them to fail has what feeling towards them?,"['unfeeling', 'negligence', 'antipathy', 'indifferent', 'rapport']",antipathy,
5030,Someone who gets nervous and doesn't know how to dance might do what when they attempt to start dancing?,"['wallflower', 'stand down', 'sitting still', 'stand still', 'standing still']",stand still,
5031,Someone who is awake is likely to know what's going on because they are this?,"['alert', 'deep sleep', 'drink coffee', 'open eyes', 'conscious']",conscious,
5032,Someone who is facing boredom will often be told to go out and do what?,"['mind games', 'have fun', 'go somewhere', 'entertain', 'watch film']",have fun,
5033,Someone who is not a citizen of your country is considered to be what?,"['foreigner', 'countryfolk', 'immigrant', 'subject', 'alien']",alien,
5034,Someone who's belief in a philosophy is not slight but extreme is what?,"['significant', 'important', 'radical', 'radical', 'essencial']",radical,
5035,Someone with a disability caused by a stroke looses what in the left side?,"['competence', 'obesity', 'qualification', 'potential', 'strength']",strength,
5036,Something that holds food or other items is called what?,"['container', 'kitchen', 'backpack', 'jar', 'bowl']",container,
5037,Something that people do when they are sneezing a lot and have a runny nose?,"['inhale', 'blow nose', 'close eyes', 'cover face', 'spray']",blow nose,
5038,Something that you need to have inside of you when opening a business is a lot of?,"['workers', 'money', 'determination', 'funding', 'creativity']",determination,
5039,Something you do requires effort and what else?,"['make progress', 'make peace', 'make war', 'take time', 'kindness']",take time,
5040,Sometimes it felt like being able to pay bills was the only reason he was actively what?,"['pay debts', 'make money', 'having money', 'making money', 'keep house']",making money,
5041,Sometimes it seems like government wants to control anything and what?,"['washington d.c', 'everything', 'all of us', 'country', 'capitol building']",everything,
5042,Sometimes just expressing yourself is the best way to be what?,"['communication', 'fun', 'understood', 'ease tension', 'suffering']",understood,
5043,Sometimes people say that someone stupid has no what?,"['names', 'dress', 'brains', 'brown hair', 'two eyes']",brains,
5044,Sometimes the wealth of another country will cause the greed of the leadership to attempt to do what?,"['make friends', 'fight unfairly', 'conquer opponent', 'lie', 'play poker']",conquer opponent,
5045,Sometimes to have to prove you,"['cut grass', 'go to town', 'answer telephone call', 'receive mail', 'own home']",receive mail,
5046,Sonny thought the concert hall was best located in a place with a lot of people.  Where might he put it?,"['university building', 'shopping malls', 'commercial building', 'theater', 'city']",city,
5047,Southern is the opposite of what?,"['southernwort', 'northern', 'northern', 'boreal', 'septentrional']",northern,
5048,Space is the most important character on a keyboard. What basic thing do you need space to write?,"['paragraph', 'sentence', 'box', 'front', 'words']",sentence,
5049,Spending time seeing artifacts listening to museum lectures will lead to what?,"['thinking', 'learning', 'angry', 'archeology', 'pleasure']",learning,
5050,Spending too much time contemplating can lead to what kind of pain?,"['relaxation', 'deciding', 'regret', 'revelations', 'headache']",headache,
5051,Standing in line is made more difficult by what?,"['fidgeting', 'get tired', 'tiredness', 'cars', 'pain']",tiredness,
5052,Standing in queue at a store allows you to be able to do what to your surroundings?,"['watch', 'whistle', 'impatience', 'look around', 'daydreaming']",look around,
5053,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,"['reality', 'imagination', 'dreamworker', 'nightmare', 'awake']",reality,
5054,Starting a fire is a terrible idea because flames move in what pattern?,"['explosion', 'unpredictable', 'disaster', 'warmth', 'everywhere']",unpredictable,
5055,Starting in the mouth and passing through the throat what organ is where food passes through the body?,"['neck', 'upper respiratory tract', 'throatplate', 'throatplate', 'alimentary canal']",alimentary canal,
5056,Steam turns to vapor quickly when it is exposed to what?,"['condensate', 'rain', 'liquid water', 'ice', 'cold air']",cold air,
5057,Steve needed a place to sleep so he asked around and found a place to stay.  Where might he be staying?,"['apartment', ""friend's house"", 'tent', 'outside', 'living room']",friend's house,
5058,Steve was surprised to find an underground map while he was shopping and carrots and paperback books.  Where might he have found it?,"['subway station', 'library', 'super market', ""county engineer's office"", 'a friend']",super market,
5059,Studying is the most effective what to get what?,"['increasing knowledge', 'money', 'higher intelligence', 'better grades', 'inspiration']",better grades,
5060,Studying requires using multiple sources to do what that allows you to complete the project?,"['gathering information', 'understanding', 'feeling ill', 'knowing more', 'headaches']",gathering information,
5061,Studying too intensely can cause what problem?,"['understand themselves', 'understanding', 'gathering information', 'knowing more', 'headaches']",headaches,
5062,Subway stations are generally found in a?,"['large city', 'london', 'big city', 'toronto', 'chicago']",big city,
5063,Success is usually a product of preparation and what?,"['awards ceremony', 'various situations', 'vocation', 'working hard', 'promotion']",working hard,
5064,Sunshine and warmth are the weathers associated with what?,"['alaska', 'summer', 'disneyland', 'beach', 'meadow']",summer,
5065,Superman refuses to kill.  He does this because he feels that every life is what?,"['short', 'finite', 'important', 'good', 'created']",important,
5066,Surprising a baby while playing peek-a-boo will cause them to what?,"['humor', 'funny', 'fight', 'laughter', 'jump']",laughter,
5067,Susan climbed the slops.  It was very difficult.  She wished that she was on what?,"['flat', 'flat ground', 'downhill', 'straight', 'top']",flat ground,
5068,Susan threw the highly elastic ball at the wall.  The ball did what?,"['bounce', 'recoil', 'rebound', 'underwear', 'stretch']",rebound,
5069,Susan was playing games with her five year old son Tim.  She played them because they were designed to help him with something.  What might they help a child with?,"['learning', 'competitiveness', 'losing', 'winning', 'relaxation']",learning,
5070,Sweating excessively when you exercise will mean you need to do what?,"['fatigue', 'improve health', 'lazy', 'drink water', 'get tired']",drink water,
5071,Talking and writing are forms of what?,"['listening to', 'communication', 'telling a story', 'revelation', 'conversation']",communication,
5072,Talking to someone is pointless if they're doing what?,"['dry mouth', 'whispering', 'being heard', 'eye contact', 'not listening']",not listening,
5073,Teddy liked learning languages.  He helped him with what?,"['problems', 'frustration', 'confidence', 'better communication', 'sadness']",better communication,
