,premise,hypothesis,rationales
4698,A boy holds up a strange plant.,A boy showing a weird plant.,
4699,A worker standing on a high scaffold.,The person is having lunch at a restaurant,
4700,People covered in a red substance play chess.,The group of chess players didn't let the red substance ruin their game.,
4701,People in the city.,People in the countryside.,
4702,A skull of rowers on a lake.,A group of male rowers are on the lake.,
4703,"A man with long brown hair, wearing a dark jacket, brown graphic t-shirt, and blue jeans is talking on a cellphone while carrying a drum on his head.",There is a male talking on a cellphone with his girlfriend.,
4704,Five people are playing in the water at a beach.,Five people play in the lake.,
4705,Martial arts students sit on the floor or stand in the background while watching a matchup between two people.,The students are excited.,
4706,Someone riding a bike in the street with a green backpack.,A mechanic is fixing a truck.,
4707,A young woman with blond-hair and a colorful bracelet talks on a cellphone on a windy day.,A young woman with blond-hair and a colorful bracelet talks on a cellphone.,
4708,A group of people walk down a walkway surrounded by stores like McDonalds and Vagabond.,A group are walking by stores and restraunts.,
4709,A white dog running in the backyard.,The dog is chasing a stick.,
4710,A man performs stunts in front of a crowd on the sidewalk.,The man is a gymnast.,
4711,"A young woman in a courtyard in traditional Indian dress pours a cup of water for a girl while an older couple looks on, as a young man works with a shovel nearby.",The old woman is pouring water.,
4712,Many people look at art in the main lobby of a museum.,Many people writting down answers to a test.,
4713,Two people are picking up their belongings in front of a Subway.,Three people are picking up their belongings.,
4714,A man wearing a mask plays music by the side of a road.,A man wearing a scary mask plays music.,
4715,People are dancing in a circle around a group a young girls.,The dancers are moving,
4716,Puffy white clouds among a blue sky are above a group of four Native American Indians playing instruments for a crowd of people.,There are twelve Native Americans playing music today.,
4717,"Four people standing in an enclosure with a sign that says, ""The Human Shop"" on it.",the people are shopping,
4718,A man dressed in black is smoking a cigarette.,An individual is smoking.,
4719,A young boy is holding a little girl.,A young boy and girl are holding each other,
4720,A sports player attempting to catch the ball.,There is a ball in the air on its way to the player.,
4721,An event in a stadium with sign holders.,Something great at a stadium,
4722,"A woman with blond-hair and a cowboy hat, is holding the American Flag while riding a brown horse in an arena.",The woman is blonde.,
4723,Three women wearing bright yellow caps clap their hands while standing on a crosswalk.,boy sits on table,
4724,Two men and a woman swimming in a large body of water with a golden Labrador retriever.,People swimming with their dog in the ocean.,
4725,A greyhound races through the dirt.,A cat chasing a rabbit,
4726,Two persons wearing black headgear and white hand pads are engaged in a martial arts exhibition with many people watching in the background.,The two people are competing for a trophy.,
4727,Two baseball players are trying to catch this ball and not dance with each other.,Two men are in the dugout.,
4728,A man looking down at his skateboard or snowboard in the snow.,man broke his board,
4729,A woman on a Segway standing with some men in a crowd.,A baseball players drops the ball due to the sun in his eyes,
4730,A man in blue tennis shorts and a white polo shirt braces to hit the tennis ball.,A man plays tennis on a clay court.,
4731,"A woman wearing a black jacket walking down the street with a young girl wearing a backpack, getting ready to pass a group of people standing on the street.",A mother walks her daughter to school.,
4732,A man selling beautiful flowers from a cart on a street corner.,The flowers are pretty.,
4733,A child at an exhibit.,A child is stealing a painting.,
4734,A baby in green clothes is sleeping.,A baby is sleeping.,
4735,A man is walking down a dirt road with a shop on his right.,the man is going to the store,
4736,A woman with an orange shirt is walking past a 1 hour photo shop.,Every person in the picture has on a blue or grey shirt.,
4737,A group of male construction workers bedecked in orange clothing work on a roadway.,A group of men sleeping on a deck.,
4738,A motorcyclist drives up the side of a green mountain while another bike remains stationary.,There are two motorcycles but one is broken,
4739,"A festive occasion with an ostrich walking in the street, with balloons in the air and people in colored hats.",An ostrich is a feature attraction at the local zoo.,
4740,A girl with red-hair and red eyebrows appears to be in mid-speach.,A girl is talking.,
4741,Several people stand outside near metallic objects including a few posts.,The people stand in front of an art gallery.,
4742,A driver communicating on his walkie talkie.,A girl is on her cellphone outside.,
4743,A man with a microphone.,A woman talks on her cell phone.,
4744,A group of women are sitting near each other and knitting.,A group of women are holding yarn.,
4745,Three children writing intently in a classroom.,Children are in a classroom.,
4746,An asian man in a blue jacket putting candles into a cake.,A man in a jacket putting candles into a cake.,
4747,Vehicles and pedestrians pass by nearby skyscrapers.,There is no traffic outside.,
4748,Two people riding a motorcycle on a cold day.,It is autumn.,
4749,The man in the background is grilling food while the man in the foreground is talking to the camera.,There is a man grilling food while another talks to the camera.,
4750,A large group of people surrounding a bride and groom taking photos.,A group of friends are photographing the couple,
4751,A man cutting steel while wearing noise canceling earmuffs.,a man iss wearnign earmuffs,
4752,"On the shoulder of the road, near the curb, grass has grown onto the roadway.",The grass is outside.,
4753,"Two men are standing by a railing, while posing for a picture.",Two men are waiting for their picture to be taken.,
4754,"These two young boys with blue and gray shorts, smile for the camera before they go play outside.",Two young boys are playing hide and go seek outside.,
4755,A young girl in pink pants with white polka dots is studying something in her hand as she sits in a lush forest.,The forest is barren and it is the dead of winter.,
4756,The red car is ahead of the two cars in the background.,The cars are racing.,
4757,Four children learn how to work on bicycles.,Children learn how to cook burgers.,
4758,A man is riding in a blue kayak in the ocean.,There is a blue kayak in the ocean.,
4759,They are protesting to stop black deaths,They did not protest the deaths.,
4760,Two dogs chasing each other in the grass,There are two dogs outdoors in a chase.,
4761,A young model poses for her photo shoot under a dock.,The woman is in a building taking pictures.,
4762,A number of people are doing a synchronized martial arts performance in the street.,A group of people are performing martial arts.,
4763,The sky appears clear.,There is heavy overcast in the sky.,
4764,A dark brown dog jumps behind a young girl in shorts.,A girl in sweat pants is playing with a brown dog that is jumping in front of her.,
4765,A group of people on a dock by a city boarding various boats,there are people in the street boarding a train at the train station.,
4766,A young boy with a name badge on his black jacket plays with a hammer and circular saw next to a roll of carpet padding.,Little Billy has his jacket on and is playing.,
4767,"Two guys barbecuing, one in blue shirt bending down, while the other in black shorts stands facing his back to the camera.",Two men are barbecuing for their wives on Mothers' Day.,
4768,A man performs at a concert.,Nobody is performing.,
4769,A team plays baseball at a large crowded stadium.,The baseball game goes 15 innings.,
4770,Two women carrying grain on their head.,Two women carrying fresh fruit on their head.,
4771,Two girls watch a reaction while mixing liquids on a lab table.,Two girls perform an science experiment at school.,
4772,Two men in white cowboy hats on horses are trying to lasso a running animal.,The two men worked to try to catch the animal.,
4773,A brunette man playing rugby.,The person is eating dinner.,
4774,Marathon runners show exhaustion as they line up.,A group of runners tired from the marathon.,
4775,A football game where 2 members of the White team are tackling a member of the red team.,There are people competing in a sport.,
4776,A woman in a pink dress with a black purse is walking down a stone road.,The woman is flying a plane.,
4777,"Two teens are near a fast food booth painted blue, while standing on a tiled street.",Two teens are talking to each other,
4778,A pitcher on a mound throws a baseball.,A baseball player playing baseball,
4779,A man in an apron is standing by a table.,The waiter is in a restaurant.,
4780,Man wearing black takes a nap in a green park.,A man is wearing black.,
4781,Two men stand juggling colored boxes while other men stand on a balcony.,Many people drinking beer enjoy watching two jugglers.,
4782,People are doing an exercise routine in a park-like setting.,they are in a cave,
4783,A public worker is sweeping up a massive pile of trash in front of a monument at a city square.,A worker is eating trash and throwing it around.,
4784,An elderly woman is cleaning a door with a mop.,The woman is a grandma,
4785,"Four young men on a dock, two standing, two sitting, with one playing a guitar.",A group of girls singing.,
4786,A person in a purple jacket is squatting around several moose.,a person is squatting,
4787,a soldier crouches beside a tank with a larger vehicle obscured in the background.,A soldier is playing basketball.,
4788,A girl is swinging on an object that is red with blue rope in a well-kept field.,The object is strong.,
4789,A child in a black cap sleeping across two chairs.,A child lays across two chairs to sleep.,
4790,A man is slumped over on a seat.,A man is tired after a long day of work,
4791,"Four people snowboarding, dressed warmly.",people are swimming,
4792,A man standing on his cellphone next to a picture of a woman.,A man on his phone as he looks at a picture of his wife.,
4793,A man in a coat talking on his phone on the street.,The man in the coat talks on his phone.,
4794,A few young girls in a classroom.,A few young girls at the mall.,
4795,A skier doing a high jump from a snowy ramp near a mountain range.,skier does high jumper,
4796,Kids play in a rocky area.,The kids played chase in the rocky area.,
4797,A woman washing her families clothes in a wash basin.,Nobody is washing,
4798,A man and a woman are outside a car that is filled with items.,People are standing outside their car.,
4799,"A crowd of people seen from above, several are holding cameras.",Some people enjoy photography.,
4800,A balding man in a suit and tie stands beside a large painting of a rough sea.,The man is looking at art,
4801,a man in black clothes is watching a child making a splash in a pool.,The man is staring like a creep at the child.,
4802,There are many tennis balls on a stand behind the blonde tennis player.,there are people playing tennis,
4803,A group of people wearing blue shirts are standing in front of some buildings.,Many people are waiting in line outdoors.,
4804,"Two men, one of which is bald, in a bathroom.",The men are in a field,
4805,Group of people sitting in lounge chairs on patio looking at mountains.,People are looking at mountains.,
4806,"A man in blue jeans, a white shirt, and a black cap is doing tricks on a skateboard.",A man wearing clothes is interacting with a skateboard.,
4807,A man in a white shirt is working at a food cart.,A man throws hot dogs at people.,
4808,A group of men stand talking in front of a statute of a blue lion.,They are happy.,
4809,One of the tennis players is picking something out of his racket.,The tennis players forgot to bring their rackets.,
4810,The child in the red coat laid in the red mat.,A child lays down on a red mat.,
4811,Two white men wearing scrubs stand in front of a small cafe.,Two doctors are at a cafe.,
4812,The women have pink bunny ears on their heads.,Women have bunny ears on their heads.,
4813,A blond man is holding a map while sitting in a boat.,Someone is holding something.,
4814,a woman speaking to a group of people on a microphone.,a sad woman speaking to a group of people on a microphone.,
4815,A young person wearing a red shirt and socks is standing by himself.,A person is by themselves.,
4816,People waiting to board a bus for a big event.,People are going to ride a bus.,
4817,A group of people wait behind a barricade and look toward the right.,A group of pepole behind a barricade look around the corner to see if the coast is clear!,
4818,A jazz band playing live.,The jazz band is playing music.,
4819,A man in a black jacket in jeans takes a photograph of a man posing on the street in a silver suit.,The women hug each other in the rain.,
4820,People playing in the snow.,Human beings are outside.,
4821,Two men in shorts are playing football on a sandy beach.,Men are playing for their work football teams.,
4822,A group of soldiers standing beside a tank.,A group of soldiers are protecting a tank and eating lunch,
4823,A dark-haired male and blond-haired female dancing with others in a large room.,A lot of people in the room are dancing.,
4824,A military man walks away from a line of Army vehicles.,There are at least two vehicles.,
4825,"Friends are at a bar drinking, eating, and having a conversation.",The friends are having a bad time,
4826,A child gets dental care from a dentist as the another health professional holds his hand.,The child has teeth.,
4827,"A little boy is in a swimming pool with goggles on, covering his mouth and nose with his hands just above the surface of the water.",Boy swimming very well,
4828,A woman sleeping on a park bench with pigeons behind her.,The woman is feeding the pigeons.,
4829,Two people are sitting on a rock overlooking the river.,Two people are near a river.,
4830,A blond woman wearing glasses and a brown jacket is walking by wooden masks.,Glasses are necessary to correct vision.,
4831,A group of males sitting outdoors.,Some guys are sitting outside.,
4832,A man is photographing a Budweiser sprint car at a speedway smoking its tires.,A man is taking a picture of a car,
4833,A woman sitting by a garbage can.,A female is sorting garbage.,
4834,A group of people in green shirts push a cannon in a parade.,People are in a parade.,
4835,A little girl wearing green pants holding something while standing next to a mini hay bale.,A girl stands next to a yellow hay bail.,
4836,A brown dog plays with a toy bat hanging out its mouth.,the dog is a chihuahua,
4837,A man making artwork with fans is trying to get a lady's attention.,A man is trying to get a mans attention,
4838,A lady wearing a green sweater is putting candy on a shelf.,The boy is putting candy on the shelf.,
4839,A man walking toward a white ice cream truck parked on the street at night.,a man walks towards truck,
4840,A boy in a dirty shirt is walking through knee-high ocean water.,A boy is walking in the water to clean his dirty shirt.,
4841,A man and woman with a dog.,A dog is being walked on the beach by people.,
4842,"A street vendor sitting on a stool, on the sidewalk with his wares, reading his newspaper.",A street vendor not sitting,
4843,A girl and young boy are jumping on a trampoline in a suburban yard.,The kids are laughing.,
4844,A group of children are playing in a museum.,Humans playing,
4845,Cheerleaders wearing blue walk onto the football field.,Cheerleaders wearing blue walk off the football field into the locker rooms.,
4846,Four teens jump with balls on a basketball court.,Some people are playing on the basketball court.,
4847,The man wearing knee protectors swings a cricket club.,The woman wearing knee protectors swings a cricket club.,
4848,"Two men standing in a work place, one man taking pictures.",The men are co-workers.,
4849,A man is painting a landscape.,A man is finger painting.,
4850,A waiter in a black shirt and red & white checkered pants clears items from a table onto his tray.,A boldly dressed man is working.,
4851,The surfer does a flip off of a wave.,A person surfing is performing in a contest.,
4852,A guy standing looking into the windows of a nearby building.,The man is window shopping.,
4853,a construction worker working on a railroad waring an orange shirt,A woman works on the railroad,
4854,"In the midst of a crowd of people, a woman in a black t-shirt has her arm around a man in a brown hat.",A woman and a man are in the middle of a crowd.,
4855,A woman in red enjoying the spray from a geyser of water.,A woman is visiting Old Faithful.,
4856,"Cubs fans have paper bags on their heads that spell out ""CUBS.""",Cubs fans show their shame.,
4857,Six children in lacrosse uniforms and helmets run on a field.,The six children are all on different teams.,
4858,An infant with dark hair getting bathed in a small sink filled with soapy water.,A dark haired baby eating a cupcake.,
4859,A group of people stand on the street.,people on street,
4860,People purchasing ice cream for italian ijs.,People buying ice cream for their espresso.,
4861,A black and brown dog shakes water off of itself.,A black and brown dog is shaking itself dry to keep it's owner house clean.,
4862,A man sells eggs and chickens from a mat on the street.,A man is selling quality eggs and chickens.,
4863,Travelers gather to await the arrival of their baggage in the claims department.,Travellers were waiting to meet a person in claims department,
4864,A woman is throwing a frisbee on the beach.,A woman at the beach.,
4865,There are four people talking in the phone booths.,People social hour drinking,
4866,Three speed skaters skating.,Some people are skating.,
4867,A young woman with a blue helmet climbing up a rock.,the woman is rock climbing,
4868,Two mountaineers are looking ahead on a snowy trail.,Two musicians are playing a guitar.,
4869,Number 13 reaches out as he turns directions in an effort to deflect the anticipated path of the football during the game.,Two soccer players are yelling at each other.,
4870,The woman is checking the trash at the store.,An employee is checking the trash in a store.,
4871,A man in a hard hat stares at a machine of the train tracks.,A man is wearing a hard hat to protect himself from objects that are falling.,
4872,An old man looking at the choices of food in a restaurant window.,A man wants to order worms.,
4873,A runner in the middle of a race running along side the road.,A woman driving a car.,
4874,"Three men in military uniforms and one man in a shirt that says ""Canada"" are cutting a ribbon.",Four men are tending to the cutting of a ribbon.,
4875,A man stand there after rolling a bowling ball down a lane.,A man at a bowling alley.,
4876,A child is pointing at a typewriter.,The child wants a typewriter.,
4877,"Two guys performing on stage, one playing guitar the other singing.","Two sad sad guys performing on stage, one playing guitar the other singing.",
4878,Man pretends to be a medieval metal worker.,There is a man.,
4879,Nancy Pelosi wearing a green coat shakes a man in a suit's hand in front of a crowd of young people.,A politician is trying to win votes for the upcoming election.,
4880,A man in a black vest playing the drums.,man performs for crowd,
4881,Woman and child crossing street.,Two people going sitting on a busy road.,
4882,An older man in a red shirt playing an instrument.,An older man plays a solo for the symphony.,
4883,Four Indian people in a classroom.,Four people are learning English.,
4884,a brown dog swimming through a lake with a stick in his mouth.,A dog is outdoors,
4885,Two men on the beach attempting to throw pillows into targeted holes.,Two men are playing a game on the beach.,
4886,"Overhead view of a living room with a man on one couch, sleeping, and a dog on another while a coffee table sits in the middle of the room.",The man and dog are outside are swimming.,
4887,Men with crowns of leaves stand in a downpour.,Men stand outdoors in the rain.,
4888,There are three dogs wearing numbered jerseys running a race.,Hunting dogs run after a fox.,
4889,1 little boy wearing a pirate costume following closely behind a little girl wearing a blue dress carrying a orange pumpkin bucket and walking down the sidewalk.,Boy in costume followed by a girl in costume.,
4890,A nighttime rally at a landmark.,The landmark is a national symbol of peace.,
4891,A woman wearing a blue shirt typing on a laptop.,The laptop is white.,
4892,A woman standing in the snow with people in the background.,A human standing,
4893,A man doing tricks with his bicycle.,A man is eating in his bedroom,
4894,A crowd of people watching a man ride on a dirt bike.,Tall humans watching.,
4895,A woman sits reading at a laundromat.,A woman is washing her clothes at home.,
4896,A child in a red shirt plays with fireworks.,A young girl twirls a lit sparkler in each hand.,
4897,Asian women smile at baby.,The Chinese women smile at their baby.,
4898,Three men walk together in a plaza.,The men are out shopping,
4899,Two black men smiling and working on a piece of wood with a hammer.,The two men are mad.,
4900,A pony tailed man converses with a long-haired woman in a apartment.,Two long haired people in an apartment.,
4901,A man wearing a dark blue hat sits on the ground and leans against a building.,A man wears a hat and waits for a bus.,
4902,A person in blue jeans and a blue shirt sitting on a rock by a pool of water.,A person sitting on a rock.,
4903,People are walking past a large mirrored ball.,People are walking on the sun.,
4904,An elderly women is sitting in a chair with a cane in her hand.,An elderly women sitting in the park,
4905,Two people are rock climbing.,Two people are sleeping,
4906,A man's hand is shown helping a spatula to flip a pancake from a square frying pan in a messy kitchen.,A man is cooking in the kitchen.,
4907,A hiker is walking up the mountain on a snow-covered road.,The person is wearing snow boots.,
4908,Many people in casual clothing are crossing a city intersection in both directions.,It is rush hour so many people are getting home.,
4909,"A bride, groom, and their friends take a walk down a path.","A bride, groom and friends are walking.",
4910,an black guy in a white shirt and blue pants is jumping next to a volleyball net.,The man is getting exercise.,
4911,A girl presenting flowers to a man who is unconvinced.,The store was closed.,
4912,A man excavating bones and tools from an archaeological site.,An archeologist is digging for dino bones,
4913,A child holds a catcher with a mouse in it.,There was a young person that is holding a mousetrap that has a mouse.,
4914,A woman in a red dress and blue shoes is helping up a man in a red shirt who is lying on the ground.,A woman helps up a man who fell off of his bicycle.,
4915,The jockey wearing a yellow hat edges out the jockey wearing blue.,A female jockey racing in a large race is winning.,
4916,Ground based military forces preparing to move out at night.,It is noon.,
4917,The conductor was very agitated during the performance.,The conductor was happy during the performance.,
4918,people fixing a palace door.,People working on a palace door,
4919,A small child is holding a pink ball of yarn.,A child has some yarn.,
4920,"A man is sitting on a stool, shining another man's black shoes.",A man is being paid to shine another man's black shoes while he sits on a stool.,
4921,People passing by a sea of flags hanging on the street,There are girls in the swimming pool.,
4922,Woman emptying produce off cart outside at a stand.,Man is loading stuff onto the cart.,
4923,A boy jumps over another boy on a trampoline.,One boy does a flip while the other flips over him,
4924,A group of children pose for a picture taken at the dining room table as they sit down for supper.,The group of children are outdoors chasing one another.,
4925,Two men wearing hats with a flame at the top.,The hats are plain in color.,
4926,The bagel shop is no longer in business.,People are buying bagels,
4927,A man scratching his arm while a girl sits at a table.,He is about to sit next to the girl.,
4928,"While many people are seated on a set of stairs, a single file of formally-dressed people proceed up another staircase.",People are throwing chickens everywhere.,
4929,A group of people gather and holding different types of flags.,The people are driving cars.,
4930,Man on scaffolding spray painting a wall.,a man spray painting before he moves in,
4931,"A young girl in sunglasses, poses for the camera.",A young girl is standing a pond with a camera taking a picture a picture of a fish.,
4932,A woman in an orange athletic outfit playing tennis,A player is playing profesionaly,
4933,"Man in white tea shirt, denim paints and blue apron attends to barbecue on a truck trailer.",A man is walking a dog.,
4934,An unusually dressed man with his unicycle and his unusually dressed partner.,A man is riding a four wheeler.,
4935,A small girl is lying on the floor while her younger sister is pretending to be a nurse.,The girl wants to become a nurse when she grows up.,
4936,An extreme mountain biker making a leap across rough terrain in the woods.,A man is ordering food at a restaurant.,
4937,"People are gathered outside for a protest, and one woman in the front is smiling at the camera.","While they are protesting,a woman smiles at camera.",
4938,The worker concentrates on his task as a gardener as he trims the hedges with care.,The gardener is mowing the grass.,
4939,A black dog with a ball in its mouth swims in the water.,A dog is catching a ball in the ocean.,
4940,"Rock band performing live on stage, with a big star on stage.",A band is playing classical music.,
4941,People walking down the street next to a red phone booth.,People walking down the street.,
4942,Two cowboys rope a steer from horseback in an indoor corral.,Two cowboys happily rope a steer,
4943,The people are in the hot air balloon.,Two people outside.,
4944,A waiter in a black shirt and red & white checkered pants clears items from a table onto his tray.,The bartender makes a cocktail.,
4945,A large woman with long pink hair dressed in black is laying on a tree trunk talking to a man who is crouched down next to her.,A woman sit alone under a tree.,
4946,Several woman dancing in an African village.,The women are in Africa.,
4947,A man and two kids standing in a pool.,Three people are in a pool.,
4948,A bike riding couple dressed in bike gear and helmets take a minute to site on a bench to talk and park their bikes.,A couple is watching tv,
4949,Three Asian children sitting on a couch with tapestries hanging in the background.,The kids are black,
4950,An artist paints clouds onto a canvas.,a human painting,
4951,People sit in chairs at a park with a dog.,The dog is inside.,
4952,A man surfing a large wave in the ocean.,A man is in the ocean.,
4953,a woman in a blue dress holding an umbrella.,A woman is sunbathing on her roof.,
4954,Person dressed in black stands next to a white car that has inter tubes and a couch stacked on top of it.,A man is standing next a car.,
4955,Two young girls are outside in dresses.,Two young girls are outside,
4956,A boarded-up painted white brick building with a man standing in front.,A man is with his dog standing in front of a yellow building.,
4957,A DJ is practicing music in a purple lit room.,DJ in a purple lit room is playing music,
4958,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A cart is full of items.,
4959,An elderly man swims with others.,A person swimming.,
4960,"A child and a dog walking down the street, through melting snow.",Someone is walking.,
4961,"Several people jogging outside on a sunny day in what seems to be a neighborhood, could be part of a marathon.",People are walking slowly outside.,
4962,A young child is jumping off a yellow stool inside a room in a house.,A kid leaps from a stool.,
4963,Man wearing a black coat in the snow crossing the street.,The man is heading home from work.,
4964,A BMXer is getting high air off this ramp in the forest.,A Bike rider bikes down the boardwalk.,
4965,Their are three women at a desk and the women with the long braid looks in the microscope.,The women are working on a project.,
4966,A baseball player is about to catch the ball while a man watches.,The player is catching the ball,
4967,The girl in the white dress is going down the blue slide,The girl in the white dress is going down the blue slide and laughing.,
4968,A guy is on his bicycle.,The man is sailing.,
4969,A man in a suit and a large bag walking through the streets of the city.,A man in a suit sits in the conference room waiting for others to arrive.,
4970,A small boy in an orange and blue hat sits at a table outside.,A boy is sitting.,
4971,A brown dog jumps high in the grass.,A dog is playing outside.,
4972,A woman holds a poker chip in her hand hovering over the casino table wondering what number to place her bet on while her friends watch.,A woman is deciding on what to bet her poker chip on with her friends.,
4973,A furry dog is walking by green trees while carrying something in its mouth.,The trees are all chopped down.,
4974,Children playing a game in a field.,Children playing a game.,
4975,A woman with black hair holds a martini glass at a table with a lamp.,A woman at a table is getting drunk.,
4976,A road bike race with about 39 racers turning a corner on a brick road in the middle of a city,There is a bike race in a city during the day.,
4977,Groom wearing black and gray tux and bride wearing a white dress are being sprinkled with flowers.,The groom is wearing a purple and pink dress.,
4978,"A large group of workers, dressed in blue with orange vests and hard hats, are standing around a large roll of wire.",A group of workers are sitting for lunch.,
4979,A lone fisherman paddles his canoe along a shore.,A fisherman is in a boat,
4980,A close play is about to be decided by the umpire.,The hockey player goes to the gym,
4981,"Two men in full battle dress, one on top and the other one inside of a jeep","Two women in dress, two on top.",
4982,The brilliant white snow serves as a back drop as five men wearing snow boards and winter attire plan their snow boarding adventures.,A group of guys sip hot chocolate.,
4983,A squirrel jumps in the snow.,A squirrel jumps on the mountain in the snow.,
4984,A man wearing a scarf and holding a bag standing front of a cafe.,A man is sitting in a restaurant.,
4985,"Three kids practice martial arts, one has a yellow belt, on a red belt and the other a white belt.",Three back belts are practicing martial arts.,
4986,A snowboarder is leaping of a wooden platform.,A snowboarder is tying up their equipment.,
4987,"A young boy in a blue shirt and multicolor shorts jumps up out of the water, with his arms spread out to either side.",A younger person with clothes of many colors is being active in the water.,
4988,A group of women dressed in black playing musical instruments in front of a large building.,the BSO plays a free concert,
4989,Several people including a woman with a yellow purse are riding a crowded train.,The couple rides the empty train quietly.,
4990,A woman walking across a bridge.,A woman walks across the Golden Gate Bridge,
4991,A pitcher is getting ready to throw a ball during a baseball game.,There is a person playing baseball,
4992,A picture of a girl sitting at a table with two other people while holding a little house.,Girl holding her doll house while sitting with her parents at a table.,
4993,A woman smiles at a baby while an older couple looks on.,An older couple looks at a woman smiling at a baby.,
4994,A woman is soldering a piece of metal as a man watches.,One person observes another person working.,
4995,Two people standing outside in front of two trucks talking.,Two men are racing each other.,
4996,A person riding a bike jumps through the air high above a bumpy racetrack.,The person is in the air.,
4997,The little girl in the red skirt and striped shirt is watching the line of traffic from the side of the road.,A girl is reading a book in a library.,
4998,The little boy runs into the ocean.,The little boy runs into the ocean,
4999,A cook is in the kitchen looking at the camera.,a man looking camera in the kitchen.,
5000,An older woman sits next to a small girl who is wearing a striped dress.,There are two people.,
5001,The biker does a trick in the air.,the biker ride on the water,
5002,A man is about to regret letting his friend take pictures while he pole dances.,A man is cutting loose at his bachelor party with his friend.,
5003,Runners in a race passing a lighthouse.,People are running by the grocery store.,
5004,A woman stands on an urban sidewalk holding a beige handbag.,The handbag is small.,
5005,a little girl in a blue flower dress and black boots walking on the sidewalk.,Nobody is walking.,
5006,2 people one wearing a blue shirt the other orange taking a bike ride in the country with a beautiful orange sunset behind them.,two people are riding to their home,
5007,A man in a rodeo is riding a bull while others watch.,A man is watching a movie.,
5008,A woman stands on a concrete block taking a picture of a group of people on a sidewalk beside the road.,There are people running a race.,
5009,"Four men and a woman sit at a conference table covered in a white sheet, with beverages in front of them and one has a microphone.",Some people are drinking.,
5010,Six girls are dancing in a line at a sporting event in a gym.,"A group of girls, ages 15-18, are dancing in a gym.",
5011,"In a dance studio, dancers in Scottish kilts rehearse before an instructor.",Men and women watching a basketball game.,
5012,A construction worker working at a job site.,A construction worker is working.,
5013,A dog runs on the beach near a city.,An animal playing at a park.,
5014,Trendy girl walking down the street.,A girl is modelling for a photographer.,
5015,"A lone musician in black is on stage, playing an acoustic guitar and singing into a microphone.",A man is playing music,
5016,The man is standing on a stone stump on top of a hill with his arms outstretched.,"The man is sitting down in his truckbed, eating his lunch.",
5017,A man with a beard playing an instrument.,The man is sleeping.,
5018,A few men play volleyball.,The score is evenly matched.,
5019,"A man with a tan cowboy hat, red chaps and a leather vest is hanging on a saddle after being buck off by a horse at a rodeo show.",A man is riding at the rodeo.,
5020,"A young man, wearing a gray jacket, is in a museum looking at a statue of a lizard and putting his face with his tongue stuck out into the lizard's mouth.",A man in a gray jacket is having fun with a lizard statue in a museum.,
5021,A man and woman sitting near the street.,A male and female sit outside.,
5022,A man in a black NFL jersey holds a large pile of PS3 games while a man holds a boom mike over him with a crowd in the background that includes a man in a large dog costume.,A man with a boom mike is talking to the crowd.,
5023,A child in a green shirt balancing on a red rope while holding two white ropes.,The child is walking across a rope bridge at the park.,
5024,Two athletes participating in a competition.,"The two men are drinking ice tea, sitting in the shade of a maple tree.",
5025,Trampolines are a fun way to exercise.,Hopping up and down is an amusing way to get in shape.,
5026,Two women walking across a footbridge.,The two sisters are discussing their mother while walking through the park.,
5027,Two boys are in midair jumping into an inground pool.,Two boys are jumping on a trampoline.,
5028,A new father is holding his yawning newborn in the hospital.,A woman sings a song.,
5029,Two men wearing hiking gear look over a map on a hiking trail in the snow.,The 2 men are hiking,
5030,"Man holding a photograph, painting a picture of a dog.",The man holds something,
5031,Two men are standing together and talking.,Two men are sitting down and talking.,
5032,The race car is speeding up the hill.,A car is moving.,
5033,People sitting on a boat listening to two males play guitar.,the people are in an inner tube,
5034,A man with makeup is holding something.,A man is holding something.,
5035,Group practices some cultural dances.,Cultural dances are being performed at a competition.,
5036,Two women are waiting outside a building while a man in black carries a large bouquet of flowers somewhere.,a man takes funeral flowers to two women who wait for him,
5037,A boy is swimming in open water.,The boy is in open water.,
5038,A child is sitting behind a makeshift table.,The child is seated.,
5039,"A man wearing a green sleeveless t-shirt, red and white and black underpants and blue tights is singing or talking into a microphone.",A man is singing.,
5040,Three dogs are up to their necks in water.,Three dogs are wet.,
5041,A very young blond girl wearing pink pants with white polka dots is sitting on a wooded trail in a forest.,The blonde girl is using her imagination to have fun by herself in the forest.,
5042,A woman holding up a mug of beer.,The woman has something in her hands.,
5043,People waiting to unload a truck.,People happily waiting to unload,
5044,The handle on the mug is small and would be difficult to hold with large hands.,The handle on the mug is small,
5045,Several people are talking in an alleyway.,several people are having a conversation in the alley,
5046,A woman scantily dressed in handsome homemade-looking clothing sits on a wooden step and reads Brazilian author Coelho.,A women is kissing a man on a hill.,
5047,"Five young people in a gymnasium, one of whom holds a basketball, are all looking attentively in the same direction.",The five young people are looking different ways.,
5048,People crowding around to watch boats in the ocean.,monkey eats potato,
5049,a black dog is facing a brown dog in an open outdoor space.,Two dogs face eachother.,
5050,Two large dogs and a small dog play in a lake.,A puppy on a swing.,
5051,A young woman sits at the curb with wearing a dress and sandals.,A young woman sits down.,
5052,A man in a cap covered with bright buttons bangs pot lids together.,a naked man is banging pots and pans,
